grantee,table_schema,table_name,privilege_type
anon,public,empty_location_issues,TRUNCATE
anon,public,empty_location_issues,UPDATE
authenticated,public,empty_location_issues,DELETE
authenticated,public,empty_location_issues,INSERT
authenticated,public,empty_location_issues,REFERENCES
authenticated,public,empty_location_issues,SELECT
authenticated,public,empty_location_issues,TRIGGER
authenticated,public,empty_location_issues,TRUNCATE
authenticated,public,empty_location_issues,UPDATE
postgres,public,empty_location_issues,DELETE
postgres,public,empty_location_issues,INSERT
postgres,public,empty_location_issues,REFERENCES
postgres,public,empty_location_issues,SELECT
postgres,public,empty_location_issues,TRIGGER
postgres,public,empty_location_issues,TRUNCATE
postgres,public,empty_location_issues,UPDATE
service_role,public,empty_location_issues,DELETE
service_role,public,empty_location_issues,INSERT
service_role,public,empty_location_issues,REFERENCES
service_role,public,empty_location_issues,SELECT
service_role,public,empty_location_issues,TRIGGER
service_role,public,empty_location_issues,TRUNCATE
service_role,public,empty_location_issues,UPDATE
anon,public,entries,DELETE
anon,public,entries,INSERT
anon,public,entries,REFERENCES
anon,public,entries,SELECT
anon,public,entries,TRIGGER
anon,public,entries,TRUNCATE
anon,public,entries,UPDATE
authenticated,public,entries,DELETE
authenticated,public,entries,INSERT
authenticated,public,entries,REFERENCES
authenticated,public,entries,SELECT
authenticated,public,entries,TRIGGER
authenticated,public,entries,TRUNCATE
authenticated,public,entries,UPDATE
postgres,public,entries,DELETE
postgres,public,entries,INSERT
postgres,public,entries,REFERENCES
postgres,public,entries,SELECT
postgres,public,entries,TRIGGER
postgres,public,entries,TRUNCATE
postgres,public,entries,UPDATE
service_role,public,entries,DELETE
service_role,public,entries,INSERT
service_role,public,entries,REFERENCES
service_role,public,entries,SELECT
service_role,public,entries,TRIGGER
service_role,public,entries,TRUNCATE
service_role,public,entries,UPDATE
anon,public,export_config,DELETE
anon,public,export_config,INSERT
anon,public,export_config,REFERENCES
anon,public,export_config,SELECT
anon,public,export_config,TRIGGER
anon,public,export_config,TRUNCATE
anon,public,export_config,UPDATE
authenticated,public,export_config,DELETE
authenticated,public,export_config,INSERT
authenticated,public,export_config,REFERENCES
authenticated,public,export_config,SELECT
authenticated,public,export_config,TRIGGER
authenticated,public,export_config,TRUNCATE
authenticated,public,export_config,UPDATE
postgres,public,export_config,DELETE
postgres,public,export_config,INSERT
postgres,public,export_config,REFERENCES
postgres,public,export_config,SELECT
postgres,public,export_config,TRIGGER
postgres,public,export_config,TRUNCATE
postgres,public,export_config,UPDATE
service_role,public,export_config,DELETE
service_role,public,export_config,INSERT
service_role,public,export_config,REFERENCES
service_role,public,export_config,SELECT
service_role,public,export_config,TRIGGER
service_role,public,export_config,TRUNCATE
service_role,public,export_config,UPDATE
anon,public,import_logs,DELETE
anon,public,import_logs,INSERT
anon,public,import_logs,REFERENCES
anon,public,import_logs,SELECT
anon,public,import_logs,TRIGGER
anon,public,import_logs,TRUNCATE
anon,public,import_logs,UPDATE
authenticated,public,import_logs,DELETE
authenticated,public,import_logs,INSERT
authenticated,public,import_logs,REFERENCES
authenticated,public,import_logs,SELECT
authenticated,public,import_logs,TRIGGER
authenticated,public,import_logs,TRUNCATE
authenticated,public,import_logs,UPDATE
postgres,public,import_logs,DELETE
postgres,public,import_logs,INSERT
postgres,public,import_logs,REFERENCES
postgres,public,import_logs,SELECT
postgres,public,import_logs,TRIGGER
postgres,public,import_logs,TRUNCATE
postgres,public,import_logs,UPDATE
service_role,public,import_logs,DELETE
service_role,public,import_logs,INSERT
service_role,public,import_logs,REFERENCES
service_role,public,import_logs,SELECT
service_role,public,import_logs,TRIGGER
service_role,public,import_logs,TRUNCATE
service_role,public,import_logs,UPDATE
anon,public,location_issues,DELETE
anon,public,location_issues,INSERT
anon,public,location_issues,REFERENCES
anon,public,location_issues,SELECT
anon,public,location_issues,TRIGGER
anon,public,location_issues,TRUNCATE
anon,public,location_issues,UPDATE
authenticated,public,location_issues,DELETE
authenticated,public,location_issues,INSERT
authenticated,public,location_issues,REFERENCES
authenticated,public,location_issues,SELECT
authenticated,public,location_issues,TRIGGER
authenticated,public,location_issues,TRUNCATE
authenticated,public,location_issues,UPDATE
postgres,public,location_issues,DELETE
postgres,public,location_issues,INSERT
postgres,public,location_issues,REFERENCES
postgres,public,location_issues,SELECT
postgres,public,location_issues,TRIGGER
postgres,public,location_issues,TRUNCATE
postgres,public,location_issues,UPDATE
service_role,public,location_issues,DELETE
service_role,public,location_issues,INSERT
service_role,public,location_issues,REFERENCES
service_role,public,location_issues,SELECT
service_role,public,location_issues,TRIGGER
service_role,public,location_issues,TRUNCATE
service_role,public,location_issues,UPDATE
anon,public,locations,DELETE
anon,public,locations,INSERT
anon,public,locations,REFERENCES
anon,public,locations,SELECT
anon,public,locations,TRIGGER
anon,public,locations,TRUNCATE
anon,public,locations,UPDATE
authenticated,public,locations,DELETE
authenticated,public,locations,INSERT
authenticated,public,locations,REFERENCES
authenticated,public,locations,SELECT
authenticated,public,locations,TRIGGER
authenticated,public,locations,TRUNCATE
authenticated,public,locations,UPDATE
postgres,public,locations,DELETE
postgres,public,locations,INSERT
postgres,public,locations,REFERENCES
postgres,public,locations,SELECT
postgres,public,locations,TRIGGER
postgres,public,locations,TRUNCATE
postgres,public,locations,UPDATE
service_role,public,locations,DELETE
service_role,public,locations,INSERT
service_role,public,locations,REFERENCES
service_role,public,locations,SELECT
service_role,public,locations,TRIGGER
service_role,public,locations,TRUNCATE
service_role,public,locations,UPDATE
anon,public,prices,DELETE
anon,public,prices,INSERT
anon,public,prices,REFERENCES
anon,public,prices,SELECT
anon,public,prices,TRIGGER
anon,public,prices,TRUNCATE
anon,public,prices,UPDATE
authenticated,public,prices,DELETE
authenticated,public,prices,INSERT
authenticated,public,prices,REFERENCES
authenticated,public,prices,SELECT
authenticated,public,prices,TRIGGER
authenticated,public,prices,TRUNCATE
authenticated,public,prices,UPDATE
postgres,public,prices,DELETE
postgres,public,prices,INSERT
postgres,public,prices,REFERENCES
postgres,public,prices,SELECT
postgres,public,prices,TRIGGER
postgres,public,prices,TRUNCATE
postgres,public,prices,UPDATE
service_role,public,prices,DELETE
service_role,public,prices,INSERT
service_role,public,prices,REFERENCES
service_role,public,prices,SELECT
service_role,public,prices,TRIGGER
service_role,public,prices,TRUNCATE
service_role,public,prices,UPDATE
anon,public,process_config,DELETE
anon,public,process_config,INSERT
anon,public,process_config,REFERENCES
anon,public,process_config,SELECT
anon,public,process_config,TRIGGER
anon,public,process_config,TRUNCATE
anon,public,process_config,UPDATE
authenticated,public,process_config,DELETE
authenticated,public,process_config,INSERT
authenticated,public,process_config,REFERENCES
authenticated,public,process_config,SELECT
authenticated,public,process_config,TRIGGER
authenticated,public,process_config,TRUNCATE
authenticated,public,process_config,UPDATE
postgres,public,process_config,DELETE
postgres,public,process_config,INSERT
postgres,public,process_config,REFERENCES
postgres,public,process_config,SELECT
postgres,public,process_config,TRIGGER
postgres,public,process_config,TRUNCATE
postgres,public,process_config,UPDATE
service_role,public,process_config,DELETE
service_role,public,process_config,INSERT
service_role,public,process_config,REFERENCES
service_role,public,process_config,SELECT
service_role,public,process_config,TRIGGER
service_role,public,process_config,TRUNCATE
service_role,public,process_config,UPDATE
anon,public,products,DELETE
anon,public,products,INSERT
anon,public,products,REFERENCES
anon,public,products,SELECT
anon,public,products,TRIGGER
anon,public,products,TRUNCATE
anon,public,products,UPDATE
authenticated,public,products,DELETE
authenticated,public,products,INSERT
authenticated,public,products,REFERENCES
authenticated,public,products,SELECT
authenticated,public,products,TRIGGER
authenticated,public,products,TRUNCATE
authenticated,public,products,UPDATE
postgres,public,products,DELETE
postgres,public,products,INSERT
postgres,public,products,REFERENCES
postgres,public,products,SELECT
postgres,public,products,TRIGGER
postgres,public,products,TRUNCATE
postgres,public,products,UPDATE
service_role,public,products,DELETE
service_role,public,products,INSERT
service_role,public,products,REFERENCES
service_role,public,products,SELECT
service_role,public,products,TRIGGER
service_role,public,products,TRUNCATE
service_role,public,products,UPDATE
anon,public,profiles,DELETE
anon,public,profiles,INSERT
anon,public,profiles,REFERENCES
anon,public,profiles,SELECT
anon,public,profiles,TRIGGER
anon,public,profiles,TRUNCATE
anon,public,profiles,UPDATE
authenticated,public,profiles,DELETE
authenticated,public,profiles,INSERT
authenticated,public,profiles,REFERENCES
authenticated,public,profiles,SELECT
authenticated,public,profiles,TRIGGER
authenticated,public,profiles,TRUNCATE
authenticated,public,profiles,UPDATE
postgres,public,profiles,DELETE
postgres,public,profiles,INSERT
postgres,public,profiles,REFERENCES
postgres,public,profiles,SELECT
postgres,public,profiles,TRIGGER
postgres,public,profiles,TRUNCATE
postgres,public,profiles,UPDATE
service_role,public,profiles,DELETE
service_role,public,profiles,INSERT
service_role,public,profiles,REFERENCES
service_role,public,profiles,SELECT
service_role,public,profiles,TRIGGER
service_role,public,profiles,TRUNCATE
service_role,public,profiles,UPDATE
anon,public,sessions,DELETE
anon,public,sessions,INSERT
anon,public,sessions,REFERENCES
anon,public,sessions,SELECT
anon,public,sessions,TRIGGER
anon,public,sessions,TRUNCATE
anon,public,sessions,UPDATE
authenticated,public,sessions,DELETE
authenticated,public,sessions,INSERT
authenticated,public,sessions,REFERENCES
